"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.11908481568663","8.22310834057393","8.19266989368486","8.07623077539542","7.92649486549422","7.93194231772702","7.95970140008088","8.05517078034689","8.14738385635747","8.0769278722625","7.97122211440024","8.00321387047697","8.04661491581633","7.85634243528441","7.67020564556184","7.65244572695374","7.59292326938716","7.57000196382005","7.62092319373218","7.99943304970521","8.02396116559843","7.76696390984019","7.48019271805657","7.42697668442354","7.5145974603381","7.6558809817854","7.79385569546234","7.8077081809287","8.0094497702739","8.56942447767301","9.15973342109765","8.65651858031065","8.40714325385894","8.26359062752946","8.12111112665919",
"Afghanistan","AFG","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.47","10.456","10.403","10.38","10.369","10.388","10.379","10.394","10.411","10.44","10.532","10.413","10.387","10.328","10.421","10.437","10.366","10.399","10.305","10.295","10.307","10.347","10.362","10.317","11.588","12.816","14.018","14.787","15.569","16.778","16.946","26.742","26.597","26.081","24.996",
"Africa Western and Central","AFW","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.94539436575488","4.10947327134416","4.22919077254843","4.2659644989176","4.28399721178358","4.23280978394365","4.21906193298599","4.24131006159647","4.44732925416495","4.47068912574569","4.41788813913201","4.2479965312417","4.16112039158074","4.09680575818639","4.12776753303836","4.01377475932514","4.00684288756433","4.0421214737372","4.09392130630077","4.09869696759702","4.0679459952221","4.02836357809011","3.68390834483885","3.82215096272712","4.08473728114114","4.08769900961984","4.19970390566175","4.28637085692762","4.40332952057073","5.07198023095567","5.40926640873689","4.57645467428022","3.89052650834566","3.86373930463677","3.74767300872545",
"Angola","AGO","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.828","18.983","19.506","19.507","18.996","18.119","17.997","18.243","18.519","18.629","18.652","18.392","18.405","18.261","18.242","18.055","17.995","18.091","18.345","18.58","18.797","18.306","17.985","17.648","17.51","17.368","17.166","16.901","16.547","16.616","15.781","14.403","14.335","14.305","14.259",
"Albania","ALB","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.272","27.158","23.046","18.934","14.115","12.93","15.752","19.78","20.4","18.546","18.939","18.269","17.388","16.694","16.411","16.074","16.39","13.735","15.688","15.85","13.751","11.508","13.397","15.515","17.122","14.49","12.524","11.888","11.318","11.85","11.678","11.234","10.957","10.977","11.175",
"Andorra","AND","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.9248814710912","15.6760190503177","17.2954146592149","17.9454802440389","18.6210547886068","16.7893516725231","16.9803900716607","16.890883959401","16.906660518608","18.3394478629047","18.2090149011876","18.7103004450499","18.5133186745261","18.7311545030455","18.3025746431037","17.7438056241304","16.6127028195109","16.6823732567175","17.9318342982598","18.4985638846342","19.506147382531","20.0112257954515","19.974147248477","19.9877238395531","20.2524225592112","20.0772394972061","20.4199466577997","19.5955470325442","19.5848821244266","19.6446132943092","18.3976896811312","17.2224036535447","16.3197993441269","16.2444172968081","16.0826442966176",
"United Arab Emirates","ARE","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.24","2.307","2.437","2.391","2.367","2.398","2.454","2.574","2.668","2.715","3.631","4.564","5.528","6.267","7.096","6.78","6.627","6.338","6.375","6.075","5.671","5.195","4.832","4.594","4.227","3.952","6.904","5.754","5.571","5.717","6.418","7.418","4.34","4.345","4.185",
"Argentina","ARG","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.755","6.719","12.608","13.96","22.235","19.209","17.654","14.039","15.155","16.356","17.191","18.823","17.576","15.823","13.596","12.429","10.49","9.748","9.871","9.221","8.522","8.841","8.508","8.394","8.704","9.227","9.485","10.563","10.718","12.394","9.852","7.682","6.793","7.912","8.136",
