"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.99200166200305","8.10226322632634","8.12412864826585","7.97532336636627","7.63901551785414","7.45872664526924","7.35801642199682","7.34971352897775","7.35576257883288","7.30230187290659","7.1793264558504","7.06924876318978","6.95423790085325","6.75733247247232","6.58570175828678","6.4794004130273","6.42944982716605","6.41106721862675","6.49862518105549","6.74899476097373","6.6578486955574","6.52431693991333","6.3634622264465","6.36143768245644","6.41624615530576","6.56406760005861","6.70926578671529","6.7560413046771","6.98461020733231","7.46480141441315","7.76491935999314","7.19645818364821","7.02329489008364","6.95219788580009","7.01838637353114",
"Afghanistan","AFG","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.46","7.448","7.402","7.382","7.371","7.387","7.378","7.39","7.403","7.427","7.504","7.403","7.38","7.331","7.41","7.425","7.365","7.394","7.317","7.31","7.321","7.357","7.375","7.342","8.381","9.383","10.363","10.193","10.029","10.456","10.923","13.168","13.083","12.779","12.503",
"Africa Western and Central","AFW","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.33716560473899","4.36249221095715","4.48380173972014","4.49557138504457","4.48428605337851","4.4059572115881","4.36183892304957","4.35815562907665","4.52601382253579","4.58228205997962","4.50545746574165","4.29550679985251","4.17338759198675","4.07838142382607","4.06886449302573","3.93180906245219","3.89721037676268","3.90276503199613","3.92443704546181","3.89587225052618","3.88122101615931","3.93853435098075","3.72820208159502","3.94348790796974","4.24182021648322","4.23521788816617","4.35518560545058","4.37472148502498","4.37974704243036","4.56488503021668","4.04484599494161","2.77071564168785","2.60440545611385","2.57294863896378","2.70915392146087",
"Angola","AGO","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.795","14.923","15.356","15.357","14.934","14.21","14.109","14.312","14.54","14.631","14.65","14.435","14.446","14.328","14.312","14.158","14.108","14.187","14.396","14.59","14.768","14.794","14.961","15.111","15.445","15.784","16.073","16.306","16.447","16.776","15.817","13.842","13.773","13.742","13.96",
"Albania","ALB","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.329","32.218","26.944","22.283","14.977","14.672","17.727","20.242","21.163","19.383","18.295","17.61","16.684","16.013","15.629","15.284","15.639","12.533","12.171","12.737","13.263","14.835","17.704","19.898","17.248","16.162","14.466","12.635","11.587","11.466","11.307","10.397","10.42","10.44","10.709",
"Andorra","AND","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.6563315027302","11.2564096733993","11.8055372653976","11.7450260003264","12.1987173576244","11.3497344726921","10.7290156883715","10.6980190560935","10.9085190349027","11.1276726135046","10.9951470770544","10.9190766779377","10.8882911972461","9.53758803291042","9.39776782134895","8.62799480954524","8.41217574911183","8.09548472266128","7.21504874426039","7.20871617188781","8.35275819578216","8.72032942189165","8.68587837690639","8.66981233709191","8.7351200100529","8.40823785744876","8.70513285396889","8.44110459227576","7.95773076785151","9.30703513583959","9.0432778856662","7.97703475027701","7.59638316178309","7.56933503486319","7.55114479659574",
"United Arab Emirates","ARE","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.559","1.646","1.837","1.768","1.732","1.766","1.835","2.001","2.13","2.184","2.272","2.379","2.511","2.466","2.513","2.361","2.319","2.192","2.276","2.135","1.925","1.674","1.49","1.374","1.189","1.052","1.282","1.293","1.396","3.837","2.188","1.526","1.523","1.528","1.584",
"Argentina","ARG","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.244","6.13","8.439","10.267","16.452","15.648","12.804","11.651","13.258","14.029","17.411","20.123","13.806","11.893","10.053","8.422","7.062","6.52","7.788","6.685","6.267","6.101","6.137","6.494","6.796","7.291","7.544","8.246","9.202","10.778","7.915","6.145","5.641","6.576","6.397",
"Armenia","ARM","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.273","1.291","3.486","4.912","3.695","4.543","5.359","5.705","7.661","7.999","8.345","8.675","9.009","9.364","9.72","10.081","10.428","15.046","18.162","17.549","17.596","16.489","14.523","15.693","17.354","17.738","17.916","17.721","17.439","19.119","15.702","13.155","11.735","11.734","12.08",
"American Samoa","ASM","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.887","11.305","11.509","9.983","8.743","8.711","8.584","7.948","7.039","6.459","6.982","6.535","5.891","5.283","4.882","4.669","4.042","3.96","5.694","5.075","4.896","5.138","5.706","5.997","6.039","5.651","5.525","5.299","5.183","6.439","5.162","3.779","3.755","4.046","4.128",
"Austria","AUT","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.334","3.461","4.07","3.21","3.926","5.34","5.058","5.412","4.654","4.761","3.913","5.11","5.132","5.786","5.505","5.045","4.55","3.982","5.581","5.06","4.634","4.981","5.403","5.89","6.179","6.476","5.969","5.11","4.679","5.364","6.508","5.163","5.476","5.623","5.943",
