"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.4458115144777","15.568637788445","15.5382188272547","15.3356820647003","15.0334134382522","14.93642993694","14.9479657163738","15.0079111599788","15.1187414328659","15.081758849858","15.0281441655089","15.0206694896844","15.0343721478568","14.768762261398","14.543191281574","14.3835958800104","14.2477570217234","14.1515651412568","14.4819908787365","15.3561718663251","15.3637560279339","14.9437509400049","14.4243198945435","13.9952121941726","13.6797745563027","13.7254915477106","13.5947872823428","13.5658338317096","13.8393764763856","15.0187141140802","14.92967892072","13.9389837852283","13.6881505182961","13.525930432504","13.4402964847064",
"Afghanistan","AFG","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.228","10.214","10.171","10.153","10.144","10.159","10.153","10.166","10.18","10.203","10.271","10.181","10.159","10.111","10.176","10.182","10.12","10.137","10.056","10.041","10.044","10.071","10.104","10.094","12.534","14.932","17.31","16.402","15.52","16.053","16.013","17.539","17.494","17.235","16.785",
"Africa Western and Central","AFW","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.24640327957612","7.34356541424081","7.48523368650698","7.49510331676984","7.48844895930616","7.4182013214336","7.40049867544377","7.42960353212557","7.74284438026084","7.83625809972324","7.77951233986652","7.53630007124356","7.43058525234055","7.33889660883627","7.41545069552218","7.28919474200963","7.30720375721563","7.369746583559","7.41239024996943","7.43003124970508","7.36880845230114","7.37445135773237","6.92479515633432","7.26959762172044","7.76489073078293","7.70367270858716","7.89304019165621","7.92430917081689","8.00845033944577","8.68054465311128","7.6394676570899","5.90532525234878","5.49573729735676","5.46989631509748","5.59223786657231",
"Angola","AGO","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.841","40.12","41.102","41.068","40.043","38.293","37.991","38.404","38.867","39.012","38.99","38.428","38.403","38.086","38.018","37.636","37.512","37.703","38.213","38.705","39.007","37.697","36.731","35.743","35.122","34.483","33.725","32.855","31.832","33.076","30.171","27.143","26.834","26.74","27.229",
"Albania","ALB","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.687","45.621","38.82","32.402","23.005","22.071","26.61","31.78","33.211","30.433","29.816","28.774","27.516","26.605","26.243","25.877","26.645","26.605","27.357","30.867","22.697","28.871","31.207","39.554","39.628","35.918","31.184","28.109","26.942","26.422","27.089","24.543","25.41","25.582","25.567",
"Andorra","AND","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.7619936525102","25.0136861727565","26.8349608143378","27.1124606332153","27.8546371769849","25.701912397757","24.7390187241308","24.7086202979728","24.4124986784114","26.1141692774253","26.556016346726","26.1870867175278","26.5862325827893","25.0667980457526","25.375935194214","24.4618823508773","23.3288028483494","23.4776220909667","22.5016510885112","23.2029713982925","25.4817508634208","27.7190076683679","27.6694036263005","27.4009591223953","28.9206624974812","28.3873888649678","29.1170096419331","27.5676557416362","26.1022813065919","28.0965617223297","26.7299013484862","24.1000739418447","25.3135509336382","25.368668283921","25.527955691618",
"United Arab Emirates","ARE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.925","4.06","4.297","4.312","4.359","4.496","4.588","4.786","4.979","5.137","5.625","6.184","6.83","7.362","8.045","7.92","7.797","7.54","7.466","7.191","6.856","6.467","6.116","5.823","5.444","5.107","7.474","6.747","7.325","13.482","9.737","9.992","6.351","6.425","6.451",
"Argentina","ARG","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.639","13.805","22.213","25.805","40.705","37.024","32.271","27.741","30.518","32.346","37.025","41.353","32.924","29.544","26.207","23.777","20.242","18.927","21.184","19.381","18.71","18.34","19.555","19.137","20.267","21.799","22.843","23.845","25.842","30.429","23.373","19.004","17.946","19.228","19.188",
